MAIN_ID,RA,DEC,COO_WAVELENGTH,COO_BIBCODE,OTYPE,COO_BIBCODE_2
2XMM J122947.8+075200,12 29 47.829,+07 52 00.24,O,2009yCat.2294....0A,X,2009yCat.2294....0A
2XMM J122935.6+075327,12 29 35.654,+07 53 26.48,O,2009yCat.2294....0A,X,2009yCat.2294....0A
NAME RZ01 2109,12 29 39.689,+07 53 32.99,O,2009yCat.2294....0A,GlCl,2009yCat.2294....0A
2XMM J122922.1+075333,12 29 22.150,+07 53 32.57,O,2009yCat.2294....0A,QSO,2009yCat.2294....0A
SDSS J122942.02+075344.8,12 29 42.036,+07 53 44.74,N,2003yCat.2246....0C,X,2003yCat.2246....0C
2XMM J122923.7+075359,12 29 23.735,+07 53 59.29,O,2009yCat.2294....0A,QSO,2009yCat.2294....0A
[GLK96]   637,12 29 42.58,+07 54 49.5,,2000AJ....120.2928Z,GlCl,2000AJ....120.2928Z
[CHP2004] J122944.0+075532,12 29 44.0,+07 55 32,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[GLK96]  1047,12 29 33.50,+07 55 39.2,,2000AJ....120.2928Z,GlCl,2000AJ....120.2928Z
2XMM J122942.2+075701,12 29 42.29,+07 57 01.2,X,2012ApJ...756...27L,ULX?,2012ApJ...756...27L
[CHP2004] J122942.2+075702,12 29 42.2,+07 57 02,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
2XMM J122932.8+074658,12 29 32.850,+07 46 57.80,O,2009yCat.2294....0A,X,2009yCat.2294....0A
2XMM J122923.4+075132,12 29 23.430,+07 51 31.88,O,2009yCat.2294....0A,QSO,2009yCat.2294....0A
[MKZ2003] OID  277,12 29 43.8,+07 57 16,O,2003ApJ...586..814M,GlCl,2003ApJ...586..814M
[MKZ2003] OID  273,12 29 43.8,+07 57 16,O,2003ApJ...586..814M,GlCl,2003ApJ...586..814M
[CHP2004] J122943.8+075715,12 29 43.8,+07 57 15,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[CHP2004] J122949.3+075753,12 29 49.3,+07 57 53,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
[CHP2004] J122933.5+075801,12 29 33.5,+07 58 01,X,2004ApJ...602..231C,XB,2004ApJ...602..231C
CXOMKZ J1229381+075838,12 29 38.1,+07 58 38,X,2003ApJ...586..814M,XB,2003ApJ...586..814M
2XMM J122937.8+075845,12 29 37.790,+07 58 45.65,O,2009yCat.2294....0A,XB,2009yCat.2294....0A
[GLK96]  3289,12 29 37.79,+07 58 46.2,,2003ApJ...591..850C,GlCl,2003ApJ...591..850C
2XMM J122934.4+075851,12 29 34.475,+07 58 51.69,O,2009yCat.2294....0A,XB,2009yCat.2294....0A
[GLK96]  2140,12 29 54.18,+07 57 20.9,,2003ApJ...591..850C,GlCl,2003ApJ...591..850C
